vCenter,ShutdownVMName,RFC
vc01,NCISOPRD01,CHG0039809
txprd,TXQAPERFJUMP01,CHG0039809
vc01,NCLPLEXMON01,CHG0039809
txprd,TXCORPEXMON01,CHG0039809
txprd,TXLPLEXMON01,CHG0039809
vc01,NCSMSQLPRD01,CHG0039809
vc01,P01NSVW-ACYBB01,CHG0039809
vc01,P01NSVW-ACYBP01,CHG0039809
vc01,P01NSVW-ACYBR02,CHG0039809
vc01,P01NSVW-ACYBS01,CHG0039809
vc01,P01NSVW-ACYBS02,CHG0039809
vc01,P01NSVW-WCYBV01,CHG0039809
vc01,P01NSVW-WCYBV02,CHG0039809
vc02,P02NSVW-ACYBB01,CHG0039809
vc02,P02NSVW-ACYBP01,CHG0039809
vc02,P02NSVW-ACYBR01,CHG0039809
vc02,P02NSVW-ACYBR02,CHG0039809
vc02,P02NSVW-ACYBS01,CHG0039809
vc02,P02NSVW-ACYBS02,CHG0039809
vc02,P02NSVW-ACYBV01,CHG0039809
vc02,P02NSVW-WCYBV01,CHG0039809
vc02,P02NSVW-WCYBV02,CHG0039809
vc02,P01NSVW-ACYBV01,CHG0039809
vc02,P01NSVW-ACYBV02,CHG0039809
vc01,NCDTMAINPRD03,CHG0039809
